EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,BusinessUnit,HireDate,YearsAtCompany,YearsInCurrentRole,ManagerID,ManagerSatisfaction,PerformanceRating,TrainingHoursLastYear,Certifications,WorkLifeBalance,JobSatisfaction,Overtime,RemoteWorkFrequency,MonthlyIncome,BonusPercentage,StockOptionLevel,PromotionLast3Years,LeavesTaken,AbsenteeismDays,HealthInsurance,CommuteDistance,City,State,Country,TravelFrequency,ProjectsHandled,TeamSize,Attrition,ExitReason,RehireEligibility,EngagementScore,LastPerformanceReview
18,Charvi,Brar,Femle,23,Single,Graduate,Marketing,QA Engineer,Field Sales,04-03-2013,12,9,,5,6,35,4,2,5,No,Often,₹22001,30,0,3,16,15,No,38,Thiruvananthapuram,Kerala,India,Always,6,ten,No,Career Growth,No,11,19-11-2020
19,Krish,Aurora,M,50,Divorced,High School,R&D,Analyst,Corporate,24-08-2023,2,2,266,4,5,39,3,3,1,Yes,Often,142930,2,0,2,21,3,Yes,50,Chennai,Tamil Nadu,India,Frequently,10,ten,No,Work-Life Balance,Yes,92,20-04-2025
20,Zain,Thaker,Female,58,Married,Graduate,IT,HR Manager,Technology,07-07-2014,11,10,312,4,6,69,4,2,4,Yes,Always,₹69293,27,0,5,N/A,10,No,41,Mumbai,Maharashtra,Pakistan,Frequently,18,6,Yes,,Yes,26,05-01-2016
21,Amani,Bumb,Other,34,Married,Postgraduate,HR,Software Engineer,Corporate,"Jul 09, 2012",13,13,,2,4,4,3,0,1,Yes,Rarely,₹42391,9,1,2,N/A,8,No,35,New Delhi,Delhi,Nepal,Rarely,18,ten,Yes,,Yes,11,21-12-2023
22,Jayan,Behl,M,38,Widowed,Postgraduate,Supply Chain,Sales Executive,Corporate,25-04-2015,10,9,395,2,3,52,2,3,4,yes,Always,₹32297,2,3,3,5,3,No,30,Hyderabad,Telangana,India,Rarely,7,1,No,Work-Life Balance,Yes,17,18-01-2019
23,Arnav,Bhakta,Male,30,Single,Doctorate,Supply Chain,Legal Associate,Corporate,10-02-2021,4,2,548,1,6,42,1,2,3,No,Sometimes,₹91698,5,1,3,N/A,14,No,3,Ahmedabad,Gujarat,India,Always,8,8,Yes,Career Growth,No,96,31-10-2022
24,Yasmin,Sanghvi,M,43,Widowed,High School,IT,Customer Support Rep,Technology,13-08-2025,0,0,307,5,5,62,0,3,3,Yes,Sometimes,₹58115,8,0,5,8,2,No,33,Udaipur,Rajasthan,India,Frequently,8,ten,No,Better Pay,No,9,01-09-2025
25,Ivana,Bajwa,F,27,Married,High School,HR,HR Manager,Technology,"Jun 07, 2024",1,0,238,4,5,24,3,3,3,Yes,Often,126007,9,2,2,18,15,No,18,Chennai,Tamil Nadu,India,Frequently,0,ten,No,,No,81,22-12-2024
26,Rati,Dutt,Female,18,Marrid,Postgraduate,Customer Support,Customer Support Rep,Field Sales,28-02-2017,8,7,,4,4,14,1,1,3,No,Always,₹82086,15,2,5,9,1,No,29,Udaipur,Rajasthan,Bangladesh,Rarely,11,7,No,Work-Life Balance,No,85,13-07-2019
27,Jhanvi,Ganguly,F,40,Divorced,Postgraduate,Admin,Business Analyst,Technology,16-09-2011,14,12,503,4,1,97,3,0,1,Yes,Never,₹73071,5,0,1,N/A,15,No,40,Kanpur,Uttar Pradesh,India,Rarely,8,ten,No,Work-Life Balance,No,3,13-02-2017
28,Himmat,Kaur,Other,30,Divorced,Postgraduate,Design,Legal Associate,Field Sales,"Jul 08, 2017",8,6,,2,1,42,5,4,4,Yes,Sometimes,81411,0,0,0,N/A,3,No,24,New Delhi,Delhi,India,Frequently,15,ten,Yes,Better Pay,Yes,100,09-11-2020
29,Kavya,Bumb,Femle,29,Single,High School,R&D,Product Manager,Technology,14-01-2023,2,0,162,3,5,2,1,1,1,Yes,Always,₹34453,11,0,5,22,3,Yes,23,Kolkata,West Bengal,India,Frequently,10,ten,Yes,Better Pay,Yes,4,10-09-2024
30,Emir,Gupta,F,18,Marrid,Postgraduate,Customer Support,HR Manager,Corporate,21-03-2014,11,8,471,3,1,40,2,1,4,Yes,Sometimes,66273,5,1,5,24,20,Yes,40,Hyderabad,Telangana,India,Rarely,0,ten,No,Career Growth,Yes,50,17-02-2016
31,Divij,Srinivasan,Femle,47,Married,Doctorate,R&D,Operations Executive,Field Sales,08-04-2012,13,13,168,2,2,57,4,5,5,No,Rarely,₹81430,5,2,1,10,6,No,44,Mumbai,Maharashtra,India,Frequently,8,ten,Yes,,No,59,27-03-2020
32,Raunak,Bir,M,42,Divorced,Graduate,Supply Chain,Software Engineer,Technology,"Dec 04, 2017",8,5,,3,5,72,1,3,2,No,Often,₹95322,21,3,5,29,7,No,45,Thiruvananthapuram,Kerala,India,Always,7,ten,Yes,,No,52,09-01-2023
33,Myra,Toor,Male,58,Widowed,High School,Quality Assurance,Business Analyst,Corporate,11-11-2009,16,16,339,5,6,42,0,0,5,Yes,Sometimes,₹89545,29,2,3,N/A,1,Yes,9,Pune,Maharashtra,India,Frequently,12,ten,Yes,Career Growth,No,100,31-08-2020
34,Samiha,Dalal,F,30,Married,Graduate,IT,HR Manager,Corporate,18-07-2013,12,12,539,3,2,96,1,1,3,No,Never,₹47504,24,2,2,N/A,11,No,44,Kochi,Kerala,India,Rarely,5,5,No,,Yes,40,01-06-2025
35,Hazel,Dada,Other,53,Single,Postgraduate,Product,Product Manager,Field Sales,30-12-2024,1,1,145,4,3,90,2,2,3,Yes,Often,105055,25,2,5,N/A,13,Yes,38,Jaipur,Rajasthan,India,Frequently,16,ten,Yes,,Yes,59,22-04-2025
36,Biju,Madan,Female,23,Marrid,High School,Supply Chain,Finance Analyst,Field Sales,"Nov 22, 2023",2,2,407,3,3,69,4,5,2,No,Rarely,₹76067,8,1,5,14,8,No,2,Mumbai,Maharashtra,India,Always,7,ten,No,Better Pay,No,90,02-11-2024
37,Misha,Deo,Male,28,Widowed,Postgraduate,Sales,HR Manager,Corporate,19-09-2013,12,12,454,4,4,41,5,5,4,Yes,Always,₹96579,28,0,2,N/A,7,No,6,New Delhi,Delhi,India,Frequently,18,ten,Yes,Better Pay,No,70,12-09-2023
38,Zeeshan,Ratti,F,46,Divorced,High School,R&D,UI/UX Designer,Technology,"Dec 02, 2016",9,7,120,4,3,78,0,5,2,No,Always,₹30900,5,3,1,14,20,Yes,45,Lucknow,Uttar Pradesh,India,Always,3,6,Yes,Work-Life Balance,Yes,92,12-01-2018
39,Elakshi,Krishnamurthy,Male,50,Widowed,High School,Product,Legal Associate,Technology,30-06-2018,7,7,,5,6,99,2,3,4,Yes,Rarely,31943,6,0,5,N/A,1,Yes,10,Coimbatore,Tamil Nadu,India,Frequently,5,11,No,Work-Life Balance,Yes,8,30-10-2022
40,Riya,Manne,M,18,Single,Postgraduate,I.T,Customer Support Rep,Field Sales,24-11-2024,1,0,425,5,1,36,5,5,5,No,Never,₹92164,17,1,0,29,13,No,24,Siliguri,West Bengal,India,Frequently,3,12,Yes,Better Pay,Yes,55,13-03-2025
41,Aarna,Sethi,F,53,Single,Postgraduate,Marketing,UI/UX Designer,Corporate,"Dec 18, 2009",16,15,,1,3,98,4,0,3,No,Rarely,₹68557,28,2,0,14,0,No,13,Ahmedabad,Gujarat,Sri Lanka,Frequently,8,ten,Yes,Better Pay,Yes,16,06-08-2015
42,Samarth,Chakrabarti,Femle,44,Single,Graduate,Operations,Project Manager,Corporate,"Jul 07, 2015",10,7,83,1,1,92,4,0,3,Yes,Rarely,₹33852,29,2,1,N/A,0,No,27,New Delhi,Delhi,India,Frequently,19,ten,Yes,,No,45,18-08-2021
43,Kanav,Dhaliwal,Femle,47,Married,Graduate,Design,Operations Executive,Field Sales,07-06-2013,12,10,287,5,2,96,0,5,5,Yes,Rarely,₹89115,9,2,3,8,2,No,11,Ahmedabad,Gujarat,India,Rarely,20,7,Yes,Career Growth,Yes,14,19-05-2017
44,Jhanvi,Kibe,Male,20,Marrid,Doctorate,Customer Support,QA Engineer,Field Sales,23-09-2010,15,15,268,5,6,50,3,0,2,No,Often,₹72963,20,1,1,N/A,9,No,2,Ahmedabad,Gujarat,India,Always,3,9,Yes,,No,67,18-09-2023
45,Hrishita,Swaminathan,Female,47,Divorced,Doctorate,Admin,Project Manager,Field Sales,03-10-2017,8,6,,5,1,61,4,5,5,No,Often,₹53962,0,2,5,N/A,9,Yes,36,Surat,Gujarat,India,Always,17,4,Yes,Work-Life Balance,No,10,08-02-2023
46,Raunak,Barad,Other,27,Widowed,High School,Information Tech,UI/UX Designer,Corporate,"Nov 16, 2014",11,8,351,4,4,56,1,5,4,No,Rarely,148735,7,3,3,21,18,No,27,Mangalore,Karnataka,India,Rarely,17,6,No,Career Growth,No,76,21-08-2022
47,Eva,Sood,Other,20,Divorced,Postgraduate,Information Tech,Data Scientist,Corporate,22-01-2014,11,9,389,5,4,25,1,3,4,Yes,Rarely,147701,29,0,1,N/A,18,Yes,20,Chennai,Tamil Nadu,India,Always,9,15,No,Work-Life Balance,No,95,20-09-2020
48,Hiran,Chatterjee,Female,60,Divorced,Postgraduate,HR,Sales Executive,Technology,01-03-2023,2,2,412,1,5,92,4,2,2,No,Never,121001,18,1,2,N/A,1,Yes,46,Nagpur,Maharashtra,India,Frequently,4,ten,Yes,Better Pay,No,34,01-04-2023
49,Vaibhav,Mand,Other,25,Widowed,High School,Sales,Software Engineer,Technology,09-12-2024,1,0,,5,6,27,4,3,4,Yes,Rarely,₹88982,15,1,5,28,7,No,32,Hyderabad,Telangana,India,Rarely,15,ten,No,,No,74,24-06-2025
50,Kiaan,Cherian,Male,30,Married,Postgraduate,Marketing,Data Scientist,Corporate,"Mar 10, 2019",6,3,25,4,6,30,1,2,4,Yes,Often,134268,23,3,1,1,15,No,5,Bengaluru,Karnataka,India,Always,0,4,No,Career Growth,Yes,46,24-08-2024
51,Manikya,Krishnan,Femle,33,Widowed,High School,IT,Content Writer,Technology,16-03-2011,14,11,60,2,4,70,4,1,5,No,Sometimes,₹95859,19,3,3,N/A,8,No,31,Jaipur,Rajasthan,India,Always,11,ten,Yes,Work-Life Balance,No,49,21-04-2012
52,Anahi,Zacharia,Female,26,Widowed,Postgraduate,Legal,QA Engineer,Technology,15-05-2015,10,7,41,3,3,34,2,5,1,No,Often,₹91576,25,3,3,N/A,8,Yes,12,Udaipur,Rajasthan,India,Rarely,14,11,No,,No,58,01-07-2021
53,Yuvaan,Malhotra,F,41,Widowed,Graduate,Finance,QA Engineer,Technology,"Jul 17, 2013",12,10,48,5,5,96,5,0,2,No,Never,89250,18,2,5,13,12,Yes,19,New Delhi,Delhi,India,Always,18,15,Yes,Better Pay,Yes,5,30-06-2023
54,Krish,Shah,Female,19,Widowed,Doctorate,Product,Analyst,Technology,06-12-2016,9,6,,5,6,17,3,3,1,No,Never,87151,1,0,2,2,19,Yes,21,New Delhi,Delhi,India,Always,0,ten,Yes,,Yes,27,11-11-2023
55,Emir,Dhawan,M,53,Marrid,High School,Quality Assurance,HR Manager,Corporate,04-03-2020,5,4,104,2,1,11,0,4,2,Yes,Rarely,₹92317,20,0,3,N/A,0,Yes,29,Mangalore,Karnataka,India,Always,18,ten,Yes,Career Growth,No,62,28-07-2024
56,Ayesha,Raja,M,19,Single,Graduate,Operations,UI/UX Designer,Field Sales,12-10-2014,11,10,32,1,2,12,5,3,3,No,Always,₹71762,13,0,0,7,11,Yes,13,Chennai,Tamil Nadu,Bangladesh,Rarely,14,2,Yes,Better Pay,No,150,27-09-2018
57,Piya,Barad,F,18,Married,High School,Admin,Finance Analyst,Technology,21-10-2018,7,5,184,1,4,56,5,5,3,No,Sometimes,155875,4,0,1,19,16,Yes,12,Udaipur,Rajasthan,India,Frequently,2,10,No,,No,34,16-09-2021
58,Faiyaz,Chakrabarti,Male,47,Marrid,Postgraduate,Design,Customer Support Rep,Field Sales,13-07-2009,16,16,219,5,4,5,4,5,1,No,Often,₹49803,5,2,1,N/A,3,No,16,Mysuru,Karnataka,India,Always,12,7,No,Work-Life Balance,No,67,04-11-2015
59,Neysa,Krishnamurthy,Other,48,Single,High School,Finance,Legal Associate,Field Sales,10-06-2019,6,3,46,4,1,21,5,5,4,Yes,Sometimes,₹47544,18,2,5,25,5,Yes,5,Hyderabad,Telangana,India,Always,19,8,No,Work-Life Balance,Yes,96,05-10-2022
60,Samiha,Dhar,Female,40,Single,Graduate,Design,Operations Executive,Technology,02-08-2009,16,13,,2,5,41,2,5,4,No,Often,₹44317,17,2,5,N/A,11,No,46,Nagpur,Maharashtra,India,Rarely,3,ten,No,Work-Life Balance,Yes,82,04-07-2012
61,Alia,Yogi,Other,25,Widowed,Postgraduate,Finance,Customer Support Rep,Technology,09-08-2025,0,0,377,1,3,6,1,0,2,Yes,Rarely,21324,20,0,3,N/A,17,Yes,17,Mysuru,Karnataka,India,Rarely,5,15,No,Work-Life Balance,Yes,84,25-08-2025
62,Bhavin,Deep,M,36,Married,Postgraduate,I.T,Content Writer,Corporate,"Feb 03, 2025",0,0,75,5,4,63,2,3,5,Yes,Sometimes,₹65886,24,0,3,14,7,Yes,34,Surat,Gujarat,India,Always,15,3,Yes,Work-Life Balance,No,29,27-03-2025
63,Tejas,Som,M,31,Single,Postgraduate,Sales,HR Manager,Corporate,18-07-2020,5,3,335,5,2,28,2,5,4,Yes,Sometimes,₹90846,9,2,2,N/A,13,Yes,35,Udaipur,Rajasthan,Bangladesh,Always,9,ten,Yes,,No,62,22-06-2021
64,Prisha,Dugal,F,41,Single,High School,Information Tech,Analyst,Technology,06-10-2011,14,14,376,5,3,78,3,2,4,No,Sometimes,₹68080,24,0,0,N/A,8,Yes,9,Pune,Maharashtra,India,Rarely,2,9,No,Career Growth,No,8,23-04-2013
65,Vivaan,Wali,Female,44,Single,Graduate,Information Tech,Operations Executive,Technology,21-08-2010,15,14,408,1,5,51,3,5,1,Yes,Never,₹86902,22,2,5,23,14,No,4,Mumbai,Maharashtra,Bangladesh,Frequently,2,ten,Yes,Work-Life Balance,No,94,21-07-2011
66,Ryan,Saini,Male,12,Widowed,Graduate,Finance,R&D Scientist,Field Sales,30-04-2019,6,5,94,1,6,37,0,5,5,Yes,Always,183879,20,2,0,N/A,0,No,42,Kanpur,Uttar Pradesh,India,Rarely,8,14,Yes,Work-Life Balance,Yes,28,04-03-2020
67,Hiran,Venkataraman,M,28,Single,Doctorate,Sales,Legal Associate,Technology,"Oct 07, 2018",7,6,,1,2,0,0,2,4,Yes,Rarely,₹54829,6,0,3,13,18,No,4,Hyderabad,Telangana,Nepal,Always,6,1,No,,No,50,15-05-2022
68,Krish,Sur,F,52,Divorced,Postgraduate,Legal,DevOps Engineer,Field Sales,16-07-2020,5,3,397,3,1,6,3,1,4,No,Always,79190,25,0,5,15,19,Yes,21,Pune,Maharashtra,India,Frequently,11,ten,No,,Yes,6,20-04-2025
69,Arnav,Dutt,Male,56,Widowed,High School,HR,Operations Executive,Corporate,17-01-2023,2,1,,4,1,81,5,2,2,No,Often,₹65427,28,1,2,21,3,No,11,Mangalore,Karnataka,India,Always,12,6,No,Career Growth,Yes,4,12-03-2023
70,Amani,Deo,Male,35,Single,Graduate,Legal,Legal Associate,Technology,"Jun 26, 2018",7,7,,1,3,61,5,1,1,Yes,Sometimes,₹77966,18,2,3,N/A,10,No,11,Chennai,Tamil Nadu,India,Always,12,ten,Yes,Career Growth,No,69,20-12-2021
71,Anaya,Ben,M,55,Widowed,Graduate,Sales,Software Engineer,Field Sales,05-08-2017,8,5,,4,4,21,3,5,4,No,Rarely,₹70955,28,1,3,27,1,No,32,Lucknow,Uttar Pradesh,India,Frequently,14,2,Yes,Career Growth,No,7,09-09-2020
72,Divyansh,Soman,Other,25,Marrid,Postgraduate,Sales,Data Scientist,Technology,"Apr 12, 2018",7,7,392,4,6,52,2,5,1,Yes,Rarely,157577,11,0,1,N/A,9,Yes,7,Bengaluru,Karnataka,India,Frequently,5,ten,No,Better Pay,Yes,79,27-06-2025
73,Alia,Khalsa,F,41,Married,Postgraduate,I.T,Customer Support Rep,Corporate,19-12-2015,10,8,154,5,4,63,5,0,2,No,Often,196990,22,0,5,17,16,No,44,Surat,Gujarat,India,Always,2,ten,No,Work-Life Balance,No,31,10-08-2016
74,Ritvik,D’Alia,F,21,Married,Graduate,Information Tech,Legal Associate,Corporate,17-09-2015,10,8,555,3,1,55,1,1,4,Yes,Sometimes,₹49991,21,2,0,N/A,11,No,28,Kanpur,Uttar Pradesh,India,Frequently,16,ten,No,Better Pay,No,49,27-06-2018
75,Eva,Bahri,M,59,Divorced,Doctorate,Quality Assurance,Content Writer,Corporate,09-04-2010,15,12,,5,6,25,1,0,3,No,Rarely,193452,23,0,5,N/A,14,No,4,Mumbai,Maharashtra,India,Rarely,7,15,No,Work-Life Balance,No,10,08-07-2019
76,Kimaya,Saraf,Female,22,Single,Doctorate,Supply Chain,R&D Scientist,Corporate,"Mar 04, 2015",10,7,,4,1,76,5,4,3,Yes,Often,₹91225,5,1,2,N/A,3,Yes,27,Udaipur,Rajasthan,India,Frequently,5,ten,Yes,,Yes,34,29-11-2022
77,Dhruv,Golla,M,47,Marrid,Graduate,R&D,UI/UX Designer,Corporate,01-07-2019,6,6,88,2,5,34,1,2,2,Yes,Often,174206,27,2,0,15,16,Yes,3,Mumbai,Maharashtra,India,Always,14,4,No,,Yes,48,11-02-2021
78,Gokul,Kakar,Female,40,Widowed,Postgraduate,Customer Support,Sales Executive,Corporate,27-02-2022,3,2,359,3,6,93,4,5,2,Yes,Often,₹43848,21,1,5,8,7,No,5,Mysuru,Karnataka,India,Frequently,13,ten,No,Work-Life Balance,Yes,62,21-06-2024
79,Ranbir,Sarin,Femle,58,Married,Doctorate,Operations,Content Writer,Technology,24-08-2010,15,14,,5,6,44,5,0,3,Yes,Never,₹86306,11,1,1,N/A,10,Yes,18,Kolkata,West Bengal,India,Always,3,14,No,Career Growth,No,18,02-10-2017
80,Advik,Batra,F,35,Married,Graduate,Legal,QA Engineer,Field Sales,"Sep 30, 2014",11,10,,3,1,24,4,2,1,No,Always,₹70036,8,1,2,N/A,19,Yes,25,Chennai,Tamil Nadu,India,Frequently,17,ten,No,Better Pay,No,92,14-10-2024
81,Prerak,Balasubramanian,Male,24,Widowed,Postgraduate,Quality Assurance,Product Manager,Corporate,15-10-2018,7,7,,2,4,20,5,4,3,Yes,Always,172225,18,3,3,N/A,14,No,26,Hyderabad,Telangana,Sri Lanka,Frequently,2,ten,No,Work-Life Balance,Yes,93,05-07-2024
82,Ishita,Bajwa,M,58,Marrid,Doctorate,Admin,Data Scientist,Technology,11-05-2018,7,6,,1,2,44,2,0,3,No,Often,₹44034,10,2,2,15,13,No,47,Chennai,Tamil Nadu,India,Always,3,10,No,Better Pay,Yes,93,29-03-2022
83,Divij,Solanki,M,56,Marrid,Graduate,R&D,Sales Executive,Technology,"Sep 27, 2015",10,8,404,5,3,51,4,3,5,No,Often,₹43889,26,2,1,1,16,No,47,Ahmedabad,Gujarat,India,Frequently,13,ten,No,Career Growth,No,47,03-11-2017
84,Nayantara,Dixit,Femle,42,Married,Graduate,Supply Chain,Operations Executive,Corporate,15-04-2021,4,2,309,4,3,85,3,5,5,Yes,Rarely,127646,18,3,3,N/A,4,No,50,Kolkata,West Bengal,India,Always,8,2,Yes,,Yes,68,17-04-2022
85,Vidur,Jha,Male,20,Single,Postgraduate,Operations,UI/UX Designer,Field Sales,"Jan 10, 2013",12,12,362,2,4,6,2,1,1,yes,Often,₹39360,26,1,2,21,3,Yes,12,Chennai,Tamil Nadu,India,Rarely,16,ten,No,Better Pay,No,3,01-09-2017
86,Sara,Srinivasan,F,37,Single,Postgraduate,Operations,QA Engineer,Corporate,24-04-2024,1,0,,2,1,28,2,2,2,No,Rarely,₹63341,29,3,0,N/A,13,Yes,48,Mangalore,Karnataka,India,Rarely,5,ten,Yes,Career Growth,No,6,14-03-2025
87,Kashvi,Shah,Other,52,Widowed,Doctorate,IT,Legal Associate,Technology,"May 29, 2014",11,8,523,1,2,49,0,5,4,Yes,Often,₹76710,10,2,2,N/A,11,No,12,Coimbatore,Tamil Nadu,India,Frequently,0,14,Yes,Career Growth,Yes,37,17-07-2025
88,Neysa,Lanka,Other,20,Single,Doctorate,IT,Customer Support Rep,Corporate,"Aug 26, 2020",5,4,45,4,4,29,1,4,1,No,Rarely,36341,4,2,1,N/A,1,Yes,42,New Delhi,Delhi,India,Rarely,6,5,Yes,Career Growth,No,97,22-01-2022
89,Emir,Lal,Other,47,Widowed,Doctorate,I.T,Business Analyst,Field Sales,20-04-2025,0,0,468,3,5,46,3,3,2,Yes,Always,₹34446,7,3,0,N/A,18,Yes,37,Surat,Gujarat,India,Frequently,11,5,Yes,Career Growth,No,3,08-09-2025
90,Romil,Iyengar,Female,47,Single,Postgraduate,Supply Chain,R&D Scientist,Field Sales,"Dec 01, 2024",1,1,208,5,6,1,3,1,3,Yes,Often,79637,1,1,5,29,9,No,26,Mysuru,Karnataka,India,Always,12,ten,Yes,Better Pay,No,74,07-07-2025
91,Gokul,Rajagopalan,Other,29,Widowed,Doctorate,Admin,Customer Support Rep,Technology,"Dec 31, 2020",5,5,313,5,4,70,4,2,1,Yes,Never,₹50588,12,1,3,18,10,No,6,Mangalore,Karnataka,India,Rarely,18,12,Yes,Work-Life Balance,No,17,04-12-2023
92,Vanya,Bir,Other,30,Married,Graduate,Marketing,Marketing Specialist,Technology,30-08-2015,10,7,459,2,5,66,5,5,4,Yes,Never,₹44628,19,0,0,0,16,Yes,12,Coimbatore,Tamil Nadu,India,Frequently,20,ten,Yes,,Yes,66,01-02-2018
93,Hansh,Balan,Female,60,Marrid,Postgraduate,Quality Assurance,Customer Support Rep,Corporate,26-03-2020,5,5,,2,3,8,1,0,2,No,Rarely,₹42419,30,2,2,N/A,17,No,29,Kolkata,West Bengal,India,Always,8,14,Yes,Work-Life Balance,No,17,27-03-2020
94,Elakshi,Chatterjee,Femle,56,Divorced,Postgraduate,Quality Assurance,Content Writer,Technology,20-12-2018,7,7,,3,6,100,1,2,1,Yes,Always,₹21316,11,3,1,N/A,17,No,35,Kanpur,Uttar Pradesh,India,Always,15,1,Yes,Career Growth,Yes,70,02-08-2024
95,Saanvi,Vora,Male,60,Marrid,Graduate,I.T,Project Manager,Corporate,18-11-2020,5,4,,3,3,34,0,2,3,Yes,Rarely,₹79927,28,3,2,4,16,Yes,18,Lucknow,Uttar Pradesh,India,Frequently,14,ten,Yes,,Yes,20,17-05-2021
