EmployeeID,FirstName,LastName,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,BusinessUnit,HireDate,YearsAtCompany,YearsInCurrentRole,ManagerID,ManagerSatisfaction,PerformanceRating,TrainingHoursLastYear,Certifications,WorkLifeBalance,JobSatisfaction,Overtime,RemoteWorkFrequency,MonthlyIncome,BonusPercentage,StockOptionLevel,PromotionLast3Years,LeavesTaken,AbsenteeismDays,HealthInsurance,CommuteDistance,City,State,Country,TravelFrequency,ProjectsHandled,TeamSize,Attrition,ExitReason,RehireEligibility,EngagementScore,LastPerformanceReview,YearsAtCompany_bin,YearsInCurrentRole_bin,TrainingHoursLastYear_bin,PromotionLast3Years_bin,_target_numeric
11,Jhanvi,Jaggi,m,35,single,high school,design,marketing specialist,field sales,28-02-2014,11,11,,3,1,64.0,5,0,2,no,always,16766,13,2,2,5.0,14,no,46,bengaluru,karnataka,pakistan,rarely,4,ten,no,career growth,no,26,08-09-2022,10+,10+,10+,1-3,0
12,Neysa,Sura,f,45,divorced,doctorate,r&d,data scientist,corporate,09-04-2013,12,11,400.0,3,6,10.0,5,1,2,yes,rarely,45271,27,3,2,14.0,0,yes,46,nagpur,maharashtra,india,frequently,18,6,yes,better pay,no,60,26-07-2022,10+,10+,5-10,1-3,1
13,Arnav,Kothari,other,50,marrid,postgraduate,product,ui/ux designer,technology,05-08-2013,12,11,,4,6,74.0,2,0,4,no,sometimes,90247,16,3,1,,3,no,4,siliguri,west bengal,sri lanka,frequently,8,ten,no,better pay,yes,54,03-10-2013,10+,10+,10+,0-1,0
14,Yashvi,Wali,other,52,divorced,graduate,r&d,sales executive,corporate,"Jan 30, 2016",9,6,294.0,5,1,82.0,2,3,2,no,often,128615,11,2,1,,3,yes,3,udaipur,rajasthan,india,frequently,5,10,no,,yes,91,29-01-2021,5-10,5-10,10+,0-1,0
15,Manikya,Vyas,other,38,divorced,graduate,marketing,business analyst,corporate,04-09-2009,16,16,3.0,2,4,19.0,4,2,3,no,never,61815,29,2,5,,18,no,21,surat,gujarat,india,frequently,6,6,no,career growth,yes,86,12-04-2014,10+,10+,10+,3-5,0
16,Amira,Cherian,f,33,married,high school,design,sales executive,field sales,04-03-2024,1,0,,3,4,37.0,3,3,3,no,sometimes,62198,26,0,2,11.0,14,yes,18,mysuru,karnataka,india,frequently,15,ten,yes,work-life balance,no,80,29-03-2024,0-1,0-1,10+,1-3,1
17,Shanaya,Mangal,m,50,widowed,postgraduate,product,sales executive,technology,12-09-2023,2,0,312.0,4,3,69.0,1,4,5,no,sometimes,130398,12,0,3,16.0,12,yes,10,jaipur,rajasthan,india,rarely,0,5,yes,career growth,yes,4,07-03-2024,1-3,0-1,10+,1-3,1
18,Charvi,Brar,femle,23,single,graduate,marketing,qa engineer,field sales,04-03-2013,12,9,,5,6,35.0,4,2,5,no,often,22001,30,0,3,16.0,15,no,38,thiruvananthapuram,kerala,india,always,6,ten,no,career growth,no,11,19-11-2020,10+,5-10,10+,1-3,0
19,Krish,Aurora,m,50,divorced,high school,r&d,analyst,corporate,24-08-2023,2,2,266.0,4,5,39.0,3,3,1,yes,often,142930,2,0,2,21.0,3,yes,50,chennai,tamil nadu,india,frequently,10,ten,no,work-life balance,yes,92,20-04-2025,1-3,1-3,10+,1-3,0
20,Zain,Thaker,female,58,married,graduate,it,hr manager,technology,07-07-2014,11,10,312.0,4,6,69.0,4,2,4,yes,always,69293,27,0,5,,10,no,41,mumbai,maharashtra,pakistan,frequently,18,6,yes,,yes,26,05-01-2016,10+,5-10,10+,3-5,1
21,Amani,Bumb,other,34,married,postgraduate,hr,software engineer,corporate,"Jul 09, 2012",13,13,,2,4,4.0,3,0,1,yes,rarely,42391,9,1,2,,8,no,35,new delhi,delhi,nepal,rarely,18,ten,yes,,yes,11,21-12-2023,10+,10+,3-5,1-3,1
22,Jayan,Behl,m,38,widowed,postgraduate,supply chain,sales executive,corporate,25-04-2015,10,9,395.0,2,3,52.0,2,3,4,yes,always,32297,2,3,3,5.0,3,no,30,hyderabad,telangana,india,rarely,7,1,no,work-life balance,yes,17,18-01-2019,5-10,5-10,10+,1-3,0
23,Arnav,Bhakta,male,30,single,doctorate,supply chain,legal associate,corporate,10-02-2021,4,2,548.0,1,6,42.0,1,2,3,no,sometimes,91698,5,1,3,,14,no,3,ahmedabad,gujarat,india,always,8,8,yes,career growth,no,96,31-10-2022,3-5,1-3,10+,1-3,1
24,Yasmin,Sanghvi,m,43,widowed,high school,it,customer support rep,technology,13-08-2025,0,0,307.0,5,5,62.0,0,3,3,yes,sometimes,58115,8,0,5,8.0,2,no,33,udaipur,rajasthan,india,frequently,8,ten,no,better pay,no,9,01-09-2025,0-1,0-1,10+,3-5,0
25,Ivana,Bajwa,f,27,married,high school,hr,hr manager,technology,"Jun 07, 2024",1,0,238.0,4,5,24.0,3,3,3,yes,often,126007,9,2,2,18.0,15,no,18,chennai,tamil nadu,india,frequently,0,ten,no,,no,81,22-12-2024,0-1,0-1,10+,1-3,0
26,Rati,Dutt,female,18,marrid,postgraduate,customer support,customer support rep,field sales,28-02-2017,8,7,,4,4,14.0,1,1,3,no,always,82086,15,2,5,9.0,1,no,29,udaipur,rajasthan,bangladesh,rarely,11,7,no,work-life balance,no,85,13-07-2019,5-10,5-10,10+,3-5,0
27,Jhanvi,Ganguly,f,40,divorced,postgraduate,admin,business analyst,technology,16-09-2011,14,12,503.0,4,1,97.0,3,0,1,yes,never,73071,5,0,1,,15,no,40,kanpur,uttar pradesh,india,rarely,8,ten,no,work-life balance,no,3,13-02-2017,10+,10+,10+,0-1,0
28,Himmat,Kaur,other,30,divorced,postgraduate,design,legal associate,field sales,"Jul 08, 2017",8,6,,2,1,42.0,5,4,4,yes,sometimes,81411,0,0,0,,3,no,24,new delhi,delhi,india,frequently,15,ten,yes,better pay,yes,100,09-11-2020,5-10,5-10,10+,0-1,1
29,Kavya,Bumb,femle,29,single,high school,r&d,product manager,technology,14-01-2023,2,0,162.0,3,5,2.0,1,1,1,yes,always,34453,11,0,5,22.0,3,yes,23,kolkata,west bengal,india,frequently,10,ten,yes,better pay,yes,4,10-09-2024,1-3,0-1,1-3,3-5,1
30,Emir,Gupta,f,18,marrid,postgraduate,customer support,hr manager,corporate,21-03-2014,11,8,471.0,3,1,40.0,2,1,4,yes,sometimes,66273,5,1,5,24.0,20,yes,40,hyderabad,telangana,india,rarely,0,ten,no,career growth,yes,50,17-02-2016,10+,5-10,10+,3-5,0
31,Divij,Srinivasan,femle,47,married,doctorate,r&d,operations executive,field sales,08-04-2012,13,13,168.0,2,2,57.0,4,5,5,no,rarely,81430,5,2,1,10.0,6,no,44,mumbai,maharashtra,india,frequently,8,ten,yes,,no,59,27-03-2020,10+,10+,10+,0-1,1
32,Raunak,Bir,m,42,divorced,graduate,supply chain,software engineer,technology,"Dec 04, 2017",8,5,,3,5,72.0,1,3,2,no,often,95322,21,3,5,29.0,7,no,45,thiruvananthapuram,kerala,india,always,7,ten,yes,,no,52,09-01-2023,5-10,3-5,10+,3-5,1
33,Myra,Toor,male,58,widowed,high school,quality assurance,business analyst,corporate,11-11-2009,16,16,339.0,5,6,42.0,0,0,5,yes,sometimes,89545,29,2,3,,1,yes,9,pune,maharashtra,india,frequently,12,ten,yes,career growth,no,100,31-08-2020,10+,10+,10+,1-3,1
34,Samiha,Dalal,f,30,married,graduate,it,hr manager,corporate,18-07-2013,12,12,539.0,3,2,96.0,1,1,3,no,never,47504,24,2,2,,11,no,44,kochi,kerala,india,rarely,5,5,no,,yes,40,01-06-2025,10+,10+,10+,1-3,0
35,Hazel,Dada,other,53,single,postgraduate,product,product manager,field sales,30-12-2024,1,1,145.0,4,3,90.0,2,2,3,yes,often,105055,25,2,5,,13,yes,38,jaipur,rajasthan,india,frequently,16,ten,yes,,yes,59,22-04-2025,0-1,0-1,10+,3-5,1
36,Biju,Madan,female,23,marrid,high school,supply chain,finance analyst,field sales,"Nov 22, 2023",2,2,407.0,3,3,69.0,4,5,2,no,rarely,76067,8,1,5,14.0,8,no,2,mumbai,maharashtra,india,always,7,ten,no,better pay,no,90,02-11-2024,1-3,1-3,10+,3-5,0
37,Misha,Deo,male,28,widowed,postgraduate,sales,hr manager,corporate,19-09-2013,12,12,454.0,4,4,41.0,5,5,4,yes,always,96579,28,0,2,,7,no,6,new delhi,delhi,india,frequently,18,ten,yes,better pay,no,70,12-09-2023,10+,10+,10+,1-3,1
38,Zeeshan,Ratti,f,46,divorced,high school,r&d,ui/ux designer,technology,"Dec 02, 2016",9,7,120.0,4,3,78.0,0,5,2,no,always,30900,5,3,1,14.0,20,yes,45,lucknow,uttar pradesh,india,always,3,6,yes,work-life balance,yes,92,12-01-2018,5-10,5-10,10+,0-1,1
39,Elakshi,Krishnamurthy,male,50,widowed,high school,product,legal associate,technology,30-06-2018,7,7,,5,6,99.0,2,3,4,yes,rarely,31943,6,0,5,,1,yes,10,coimbatore,tamil nadu,india,frequently,5,11,no,work-life balance,yes,8,30-10-2022,5-10,5-10,10+,3-5,0
40,Riya,Manne,m,18,single,postgraduate,i.t,customer support rep,field sales,24-11-2024,1,0,425.0,5,1,36.0,5,5,5,no,never,92164,17,1,0,29.0,13,no,24,siliguri,west bengal,india,frequently,3,12,yes,better pay,yes,55,13-03-2025,0-1,0-1,10+,0-1,1
41,Aarna,Sethi,f,53,single,postgraduate,marketing,ui/ux designer,corporate,"Dec 18, 2009",16,15,,1,3,98.0,4,0,3,no,rarely,68557,28,2,0,14.0,0,no,13,ahmedabad,gujarat,sri lanka,frequently,8,ten,yes,better pay,yes,16,06-08-2015,10+,10+,10+,0-1,1
42,Samarth,Chakrabarti,femle,44,single,graduate,operations,project manager,corporate,"Jul 07, 2015",10,7,83.0,1,1,92.0,4,0,3,yes,rarely,33852,29,2,1,,0,no,27,new delhi,delhi,india,frequently,19,ten,yes,,no,45,18-08-2021,5-10,5-10,10+,0-1,1
43,Kanav,Dhaliwal,femle,47,married,graduate,design,operations executive,field sales,07-06-2013,12,10,287.0,5,2,96.0,0,5,5,yes,rarely,89115,9,2,3,8.0,2,no,11,ahmedabad,gujarat,india,rarely,20,7,yes,career growth,yes,14,19-05-2017,10+,5-10,10+,1-3,1
44,Jhanvi,Kibe,male,20,marrid,doctorate,customer support,qa engineer,field sales,23-09-2010,15,15,268.0,5,6,50.0,3,0,2,no,often,72963,20,1,1,,9,no,2,ahmedabad,gujarat,india,always,3,9,yes,,no,67,18-09-2023,10+,10+,10+,0-1,1
45,Hrishita,Swaminathan,female,47,divorced,doctorate,admin,project manager,field sales,03-10-2017,8,6,,5,1,61.0,4,5,5,no,often,53962,0,2,5,,9,yes,36,surat,gujarat,india,always,17,4,yes,work-life balance,no,10,08-02-2023,5-10,5-10,10+,3-5,1
46,Raunak,Barad,other,27,widowed,high school,information tech,ui/ux designer,corporate,"Nov 16, 2014",11,8,351.0,4,4,56.0,1,5,4,no,rarely,148735,7,3,3,21.0,18,no,27,mangalore,karnataka,india,rarely,17,6,no,career growth,no,76,21-08-2022,10+,5-10,10+,1-3,0
47,Eva,Sood,other,20,divorced,postgraduate,information tech,data scientist,corporate,22-01-2014,11,9,389.0,5,4,25.0,1,3,4,yes,rarely,147701,29,0,1,,18,yes,20,chennai,tamil nadu,india,always,9,15,no,work-life balance,no,95,20-09-2020,10+,5-10,10+,0-1,0
48,Hiran,Chatterjee,female,60,divorced,postgraduate,hr,sales executive,technology,01-03-2023,2,2,412.0,1,5,92.0,4,2,2,no,never,121001,18,1,2,,1,yes,46,nagpur,maharashtra,india,frequently,4,ten,yes,better pay,no,34,01-04-2023,1-3,1-3,10+,1-3,1
49,Vaibhav,Mand,other,25,widowed,high school,sales,software engineer,technology,09-12-2024,1,0,,5,6,27.0,4,3,4,yes,rarely,88982,15,1,5,28.0,7,no,32,hyderabad,telangana,india,rarely,15,ten,no,,no,74,24-06-2025,0-1,0-1,10+,3-5,0
50,Kiaan,Cherian,male,30,married,postgraduate,marketing,data scientist,corporate,"Mar 10, 2019",6,3,25.0,4,6,30.0,1,2,4,yes,often,134268,23,3,1,1.0,15,no,5,bengaluru,karnataka,india,always,0,4,no,career growth,yes,46,24-08-2024,5-10,1-3,10+,0-1,0
51,Manikya,Krishnan,femle,33,widowed,high school,it,content writer,technology,16-03-2011,14,11,60.0,2,4,70.0,4,1,5,no,sometimes,95859,19,3,3,,8,no,31,jaipur,rajasthan,india,always,11,ten,yes,work-life balance,no,49,21-04-2012,10+,10+,10+,1-3,1
52,Anahi,Zacharia,female,26,widowed,postgraduate,legal,qa engineer,technology,15-05-2015,10,7,41.0,3,3,34.0,2,5,1,no,often,91576,25,3,3,,8,yes,12,udaipur,rajasthan,india,rarely,14,11,no,,no,58,01-07-2021,5-10,5-10,10+,1-3,0
53,Yuvaan,Malhotra,f,41,widowed,graduate,finance,qa engineer,technology,"Jul 17, 2013",12,10,48.0,5,5,96.0,5,0,2,no,never,89250,18,2,5,13.0,12,yes,19,new delhi,delhi,india,always,18,15,yes,better pay,yes,5,30-06-2023,10+,5-10,10+,3-5,1
54,Krish,Shah,female,19,widowed,doctorate,product,analyst,technology,06-12-2016,9,6,,5,6,17.0,3,3,1,no,never,87151,1,0,2,2.0,19,yes,21,new delhi,delhi,india,always,0,ten,yes,,yes,27,11-11-2023,5-10,5-10,10+,1-3,1
55,Emir,Dhawan,m,53,marrid,high school,quality assurance,hr manager,corporate,04-03-2020,5,4,104.0,2,1,11.0,0,4,2,yes,rarely,92317,20,0,3,,0,yes,29,mangalore,karnataka,india,always,18,ten,yes,career growth,no,62,28-07-2024,3-5,3-5,10+,1-3,1
56,Ayesha,Raja,m,19,single,graduate,operations,ui/ux designer,field sales,12-10-2014,11,10,32.0,1,2,12.0,5,3,3,no,always,71762,13,0,0,7.0,11,yes,13,chennai,tamil nadu,bangladesh,rarely,14,2,yes,better pay,no,150,27-09-2018,10+,5-10,10+,0-1,1
57,Piya,Barad,f,18,married,high school,admin,finance analyst,technology,21-10-2018,7,5,184.0,1,4,56.0,5,5,3,no,sometimes,155875,4,0,1,19.0,16,yes,12,udaipur,rajasthan,india,frequently,2,10,no,,no,34,16-09-2021,5-10,3-5,10+,0-1,0
58,Faiyaz,Chakrabarti,male,47,marrid,postgraduate,design,customer support rep,field sales,13-07-2009,16,16,219.0,5,4,5.0,4,5,1,no,often,49803,5,2,1,,3,no,16,mysuru,karnataka,india,always,12,7,no,work-life balance,no,67,04-11-2015,10+,10+,3-5,0-1,0
59,Neysa,Krishnamurthy,other,48,single,high school,finance,legal associate,field sales,10-06-2019,6,3,46.0,4,1,21.0,5,5,4,yes,sometimes,47544,18,2,5,25.0,5,yes,5,hyderabad,telangana,india,always,19,8,no,work-life balance,yes,96,05-10-2022,5-10,1-3,10+,3-5,0
60,Samiha,Dhar,female,40,single,graduate,design,operations executive,technology,02-08-2009,16,13,,2,5,41.0,2,5,4,no,often,44317,17,2,5,,11,no,46,nagpur,maharashtra,india,rarely,3,ten,no,work-life balance,yes,82,04-07-2012,10+,10+,10+,3-5,0
61,Alia,Yogi,other,25,widowed,postgraduate,finance,customer support rep,technology,09-08-2025,0,0,377.0,1,3,6.0,1,0,2,yes,rarely,21324,20,0,3,,17,yes,17,mysuru,karnataka,india,rarely,5,15,no,work-life balance,yes,84,25-08-2025,0-1,0-1,5-10,1-3,0
62,Bhavin,Deep,m,36,married,postgraduate,i.t,content writer,corporate,"Feb 03, 2025",0,0,75.0,5,4,63.0,2,3,5,yes,sometimes,65886,24,0,3,14.0,7,yes,34,surat,gujarat,india,always,15,3,yes,work-life balance,no,29,27-03-2025,0-1,0-1,10+,1-3,1
63,Tejas,Som,m,31,single,postgraduate,sales,hr manager,corporate,18-07-2020,5,3,335.0,5,2,28.0,2,5,4,yes,sometimes,90846,9,2,2,,13,yes,35,udaipur,rajasthan,bangladesh,always,9,ten,yes,,no,62,22-06-2021,3-5,1-3,10+,1-3,1
64,Prisha,Dugal,f,41,single,high school,information tech,analyst,technology,06-10-2011,14,14,376.0,5,3,78.0,3,2,4,no,sometimes,68080,24,0,0,,8,yes,9,pune,maharashtra,india,rarely,2,9,no,career growth,no,8,23-04-2013,10+,10+,10+,0-1,0
65,Vivaan,Wali,female,44,single,graduate,information tech,operations executive,technology,21-08-2010,15,14,408.0,1,5,51.0,3,5,1,yes,never,86902,22,2,5,23.0,14,no,4,mumbai,maharashtra,bangladesh,frequently,2,ten,yes,work-life balance,no,94,21-07-2011,10+,10+,10+,3-5,1
66,Ryan,Saini,male,12,widowed,graduate,finance,r&d scientist,field sales,30-04-2019,6,5,94.0,1,6,37.0,0,5,5,yes,always,183879,20,2,0,,0,no,42,kanpur,uttar pradesh,india,rarely,8,14,yes,work-life balance,yes,28,04-03-2020,5-10,3-5,10+,0-1,1
67,Hiran,Venkataraman,m,28,single,doctorate,sales,legal associate,technology,"Oct 07, 2018",7,6,,1,2,0.5499999999999998,0,2,4,yes,rarely,54829,6,0,3,13.0,18,no,4,hyderabad,telangana,nepal,always,6,1,no,,no,50,15-05-2022,5-10,5-10,0-1,1-3,0
68,Krish,Sur,f,52,divorced,postgraduate,legal,devops engineer,field sales,16-07-2020,5,3,397.0,3,1,6.0,3,1,4,no,always,79190,25,0,5,15.0,19,yes,21,pune,maharashtra,india,frequently,11,ten,no,,yes,6,20-04-2025,3-5,1-3,5-10,3-5,0
69,Arnav,Dutt,male,56,widowed,high school,hr,operations executive,corporate,17-01-2023,2,1,,4,1,81.0,5,2,2,no,often,65427,28,1,2,21.0,3,no,11,mangalore,karnataka,india,always,12,6,no,career growth,yes,4,12-03-2023,1-3,0-1,10+,1-3,0
70,Amani,Deo,male,35,single,graduate,legal,legal associate,technology,"Jun 26, 2018",7,7,,1,3,61.0,5,1,1,yes,sometimes,77966,18,2,3,,10,no,11,chennai,tamil nadu,india,always,12,ten,yes,career growth,no,69,20-12-2021,5-10,5-10,10+,1-3,1
71,Anaya,Ben,m,55,widowed,graduate,sales,software engineer,field sales,05-08-2017,8,5,,4,4,21.0,3,5,4,no,rarely,70955,28,1,3,27.0,1,no,32,lucknow,uttar pradesh,india,frequently,14,2,yes,career growth,no,7,09-09-2020,5-10,3-5,10+,1-3,1
72,Divyansh,Soman,other,25,marrid,postgraduate,sales,data scientist,technology,"Apr 12, 2018",7,7,392.0,4,6,52.0,2,5,1,yes,rarely,157577,11,0,1,,9,yes,7,bengaluru,karnataka,india,frequently,5,ten,no,better pay,yes,79,27-06-2025,5-10,5-10,10+,0-1,0
73,Alia,Khalsa,f,41,married,postgraduate,i.t,customer support rep,corporate,19-12-2015,10,8,154.0,5,4,63.0,5,0,2,no,often,196990,22,0,5,17.0,16,no,44,surat,gujarat,india,always,2,ten,no,work-life balance,no,31,10-08-2016,5-10,5-10,10+,3-5,0
74,Ritvik,D’Alia,f,21,married,graduate,information tech,legal associate,corporate,17-09-2015,10,8,555.0,3,1,55.0,1,1,4,yes,sometimes,49991,21,2,0,,11,no,28,kanpur,uttar pradesh,india,frequently,16,ten,no,better pay,no,49,27-06-2018,5-10,5-10,10+,0-1,0
75,Eva,Bahri,m,59,divorced,doctorate,quality assurance,content writer,corporate,09-04-2010,15,12,,5,6,25.0,1,0,3,no,rarely,193452,23,0,5,,14,no,4,mumbai,maharashtra,india,rarely,7,15,no,work-life balance,no,10,08-07-2019,10+,10+,10+,3-5,0
76,Kimaya,Saraf,female,22,single,doctorate,supply chain,r&d scientist,corporate,"Mar 04, 2015",10,7,,4,1,76.0,5,4,3,yes,often,91225,5,1,2,,3,yes,27,udaipur,rajasthan,india,frequently,5,ten,yes,,yes,34,29-11-2022,5-10,5-10,10+,1-3,1
77,Dhruv,Golla,m,47,marrid,graduate,r&d,ui/ux designer,corporate,01-07-2019,6,6,88.0,2,5,34.0,1,2,2,yes,often,174206,27,2,0,15.0,16,yes,3,mumbai,maharashtra,india,always,14,4,no,,yes,48,11-02-2021,5-10,5-10,10+,0-1,0
78,Gokul,Kakar,female,40,widowed,postgraduate,customer support,sales executive,corporate,27-02-2022,3,2,359.0,3,6,93.0,4,5,2,yes,often,43848,21,1,5,8.0,7,no,5,mysuru,karnataka,india,frequently,13,ten,no,work-life balance,yes,62,21-06-2024,1-3,1-3,10+,3-5,0
79,Ranbir,Sarin,femle,58,married,doctorate,operations,content writer,technology,24-08-2010,15,14,,5,6,44.0,5,0,3,yes,never,86306,11,1,1,,10,yes,18,kolkata,west bengal,india,always,3,14,no,career growth,no,18,02-10-2017,10+,10+,10+,0-1,0
80,Advik,Batra,f,35,married,graduate,legal,qa engineer,field sales,"Sep 30, 2014",11,10,,3,1,24.0,4,2,1,no,always,70036,8,1,2,,19,yes,25,chennai,tamil nadu,india,frequently,17,ten,no,better pay,no,92,14-10-2024,10+,5-10,10+,1-3,0
81,Prerak,Balasubramanian,male,24,widowed,postgraduate,quality assurance,product manager,corporate,15-10-2018,7,7,,2,4,20.0,5,4,3,yes,always,172225,18,3,3,,14,no,26,hyderabad,telangana,sri lanka,frequently,2,ten,no,work-life balance,yes,93,05-07-2024,5-10,5-10,10+,1-3,0
82,Ishita,Bajwa,m,58,marrid,doctorate,admin,data scientist,technology,11-05-2018,7,6,,1,2,44.0,2,0,3,no,often,44034,10,2,2,15.0,13,no,47,chennai,tamil nadu,india,always,3,10,no,better pay,yes,93,29-03-2022,5-10,5-10,10+,1-3,0
83,Divij,Solanki,m,56,marrid,graduate,r&d,sales executive,technology,"Sep 27, 2015",10,8,404.0,5,3,51.0,4,3,5,no,often,43889,26,2,1,1.0,16,no,47,ahmedabad,gujarat,india,frequently,13,ten,no,career growth,no,47,03-11-2017,5-10,5-10,10+,0-1,0
84,Nayantara,Dixit,femle,42,married,graduate,supply chain,operations executive,corporate,15-04-2021,4,2,309.0,4,3,85.0,3,5,5,yes,rarely,127646,18,3,3,,4,no,50,kolkata,west bengal,india,always,8,2,yes,,yes,68,17-04-2022,3-5,1-3,10+,1-3,1
85,Vidur,Jha,male,20,single,postgraduate,operations,ui/ux designer,field sales,"Jan 10, 2013",12,12,362.0,2,4,6.0,2,1,1,yes,often,39360,26,1,2,21.0,3,yes,12,chennai,tamil nadu,india,rarely,16,ten,no,better pay,no,3,01-09-2017,10+,10+,5-10,1-3,0
86,Sara,Srinivasan,f,37,single,postgraduate,operations,qa engineer,corporate,24-04-2024,1,0,,2,1,28.0,2,2,2,no,rarely,63341,29,3,0,,13,yes,48,mangalore,karnataka,india,rarely,5,ten,yes,career growth,no,6,14-03-2025,0-1,0-1,10+,0-1,1
87,Kashvi,Shah,other,52,widowed,doctorate,it,legal associate,technology,"May 29, 2014",11,8,523.0,1,2,49.0,0,5,4,yes,often,76710,10,2,2,,11,no,12,coimbatore,tamil nadu,india,frequently,0,14,yes,career growth,yes,37,17-07-2025,10+,5-10,10+,1-3,1
88,Neysa,Lanka,other,20,single,doctorate,it,customer support rep,corporate,"Aug 26, 2020",5,4,45.0,4,4,29.0,1,4,1,no,rarely,36341,4,2,1,,1,yes,42,new delhi,delhi,india,rarely,6,5,yes,career growth,no,97,22-01-2022,3-5,3-5,10+,0-1,1
89,Emir,Lal,other,47,widowed,doctorate,i.t,business analyst,field sales,20-04-2025,0,0,468.0,3,5,46.0,3,3,2,yes,always,34446,7,3,0,,18,yes,37,surat,gujarat,india,frequently,11,5,yes,career growth,no,3,08-09-2025,0-1,0-1,10+,0-1,1
90,Romil,Iyengar,female,47,single,postgraduate,supply chain,r&d scientist,field sales,"Dec 01, 2024",1,1,208.0,5,6,1.0,3,1,3,yes,often,79637,1,1,5,29.0,9,no,26,mysuru,karnataka,india,always,12,ten,yes,better pay,no,74,07-07-2025,0-1,0-1,0-1,3-5,1
91,Gokul,Rajagopalan,other,29,widowed,doctorate,admin,customer support rep,technology,"Dec 31, 2020",5,5,313.0,5,4,70.0,4,2,1,yes,never,50588,12,1,3,18.0,10,no,6,mangalore,karnataka,india,rarely,18,12,yes,work-life balance,no,17,04-12-2023,3-5,3-5,10+,1-3,1
92,Vanya,Bir,other,30,married,graduate,marketing,marketing specialist,technology,30-08-2015,10,7,459.0,2,5,66.0,5,5,4,yes,never,44628,19,0,0,0.0,16,yes,12,coimbatore,tamil nadu,india,frequently,20,ten,yes,,yes,66,01-02-2018,5-10,5-10,10+,0-1,1
